TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	TOV	STL	BLK	PF	+/-
MIN	MIN @ UTA	03/02/2018	L	48	108	38	74	51.4	9	17	52.9	23	31	74.2	2	25	27	14	13	9	0	23	-8
UTA	UTA vs. MIN	03/02/2018	W	48	116	40	78	51.3	9	29	31.0	27	35	77.1	11	34	45	21	19	7	5	21	8
PHX	PHX vs. OKC	03/02/2018	L	48	116	46	96	47.9	11	25	44.0	13	18	72.2	13	31	44	26	15	5	12	25	-8
MIL	MIL vs. IND	03/02/2018	L	48	96	31	81	38.3	9	25	36.0	25	32	78.1	14	29	43	15	15	9	13	24	-7
DAL	DAL @ CHI	03/02/2018	L	48	100	35	84	41.7	13	29	44.8	17	21	81.0	13	33	46	21	17	6	4	15	-8
NYK	NYK @ LAC	03/02/2018	L	48	105	41	89	46.1	11	25	44.0	12	16	75.0	10	23	33	24	17	4	4	22	-23
PHI	PHI vs. CHA	03/02/2018	W	48	110	41	81	50.6	9	24	37.5	19	25	76.0	7	39	46	27	12	4	5	22	11
DEN	DEN @ MEM	03/02/2018	W	48	108	40	73	54.8	6	22	27.3	22	26	84.6	6	31	37	18	24	17	3	22	6
TOR	TOR @ WAS	03/02/2018	W	48	102	36	78	46.2	10	33	30.3	20	32	62.5	8	26	34	19	7	9	5	22	7
MIA	MIA vs. LAL	03/01/2018	L	48	113	46	95	48.4	9	31	29.0	12	16	75.0	14	26	40	23	11	6	5	21	-18
PHI	PHI @ CLE	03/01/2018	W	48	108	40	90	44.4	10	30	33.3	18	27	66.7	14	40	54	22	10	4	5	20	11
CLE	CLE vs. PHI	03/01/2018	L	48	97	36	87	41.4	9	32	28.1	16	23	69.6	10	35	45	23	10	4	6	21	-11
LAL	LAL @ MIA	03/01/2018	W	48	131	47	79	59.5	16	29	55.2	21	26	80.8	6	30	36	29	14	9	5	17	18
MIN	MIN @ POR	03/01/2018	L	48	99	38	85	44.7	4	20	20.0	19	21	90.5	9	40	49	16	15	5	7	24	-9
POR	POR vs. MIN	03/01/2018	W	48	108	36	92	39.1	9	30	30.0	27	35	77.1	12	36	48	17	8	9	6	18	9
BKN	BKN @ SAC	03/01/2018	L	53	111	40	96	41.7	17	46	37.0	14	17	82.4	16	35	51	27	22	10	4	14	-5
SAC	SAC vs. BKN	03/01/2018	W	53	116	50	97	51.5	6	14	42.9	10	12	83.3	11	33	44	23	15	15	6	13	5
DAL	DAL vs. OKC	02/28/2018	L	53	110	44	91	48.4	13	36	36.1	9	15	60.0	8	28	36	30	17	11	1	22	-1
ORL	ORL vs. TOR	02/28/2018	L	48	104	39	82	47.6	13	30	43.3	13	23	56.5	8	34	42	27	13	8	2	19	-13
IND	IND @ ATL	02/28/2018	L	48	102	38	90	42.2	11	32	34.4	15	20	75.0	11	32	43	21	24	13	5	20	-5
BOS	BOS vs. CHA	02/28/2018	W	48	134	54	87	62.1	12	20	60.0	14	15	93.3	4	43	47	31	11	3	4	20	28
HOU	HOU @ LAC	02/28/2018	W	48	105	36	85	42.4	13	43	30.2	20	24	83.3	10	31	41	21	10	11	5	21	13
MIL	MIL @ DET	02/28/2018	L	48	87	28	73	38.4	8	24	33.3	23	28	82.1	6	29	35	16	13	7	3	20	-23
MEM	MEM vs. PHX	02/28/2018	L	48	102	33	87	37.9	13	31	41.9	23	28	82.1	11	37	48	23	20	8	8	29	-8
GSW	GSW @ WAS	02/28/2018	W	48	109	37	72	51.4	10	24	41.7	25	30	83.3	3	33	36	24	14	10	8	21	8
ATL	ATL vs. IND	02/28/2018	W	48	107	38	87	43.7	9	29	31.0	22	27	81.5	15	34	49	21	21	13	11	23	5
SAS	SAS vs. NOP	02/28/2018	L	48	116	48	99	48.5	9	26	34.6	11	14	78.6	13	34	47	23	11	7	9	15	-5
WAS	WAS vs. GSW	02/28/2018	L	48	101	36	90	40.0	11	32	34.4	18	21	85.7	18	33	51	25	18	6	4	24	-8
CHA	CHA @ BOS	02/28/2018	L	48	106	42	91	46.2	9	27	33.3	13	22	59.1	9	24	33	24	7	6	6	17	-28
DET	DET vs. MIL	02/28/2018	W	48	110	42	95	44.2	9	29	31.0	17	22	77.3	22	35	57	26	11	9	0	20	23
NOP	NOP @ SAS	02/28/2018	W	48	121	50	99	50.5	9	26	34.6	12	15	80.0	12	31	43	26	12	7	3	17	5
OKC	OKC @ DAL	02/28/2018	W	53	111	42	93	45.2	10	36	27.8	17	19	89.5	19	37	56	19	22	7	2	24	1
LAC	LAC vs. HOU	02/28/2018	L	48	92	36	79	45.6	7	23	30.4	13	19	68.4	4	35	39	17	18	6	2	19	-13
PHX	PHX @ MEM	02/28/2018	W	48	110	38	83	45.8	6	21	28.6	28	38	73.7	8	39	47	19	16	12	6	28	8
TOR	TOR @ ORL	02/28/2018	W	48	117	45	83	54.2	12	30	40.0	15	24	62.5	7	35	42	33	12	9	7	22	13
MIA	MIA vs. PHI	02/27/2018	W	48	102	36	82	43.9	9	27	33.3	21	28	75.0	11	26	37	19	16	12	9	19	1
CHI	CHI @ CHA	02/27/2018	L	48	103	39	81	48.1	9	24	37.5	16	21	76.2	11	33	44	26	21	8	5	23	-15
CHA	CHA vs. CHI	02/27/2018	W	48	118	44	82	53.7	15	35	42.9	15	21	71.4	6	29	35	28	14	11	8	14	15
BKN	BKN @ CLE	02/27/2018	L	48	123	44	82	53.7	12	32	37.5	23	30	76.7	3	33	36	29	13	6	0	21	-6
LAC	LAC @ DEN	02/27/2018	W	48	122	46	89	51.7	7	26	26.9	23	31	74.2	13	30	43	26	19	12	7	25	2
POR	POR vs. SAC	02/27/2018	W	48	116	44	84	52.4	15	34	44.1	13	17	76.5	10	37	47	27	18	10	2	15	17
WAS	WAS @ MIL	02/27/2018	W	48	107	42	88	47.7	7	20	35.0	16	22	72.7	9	31	40	30	13	9	6	22	3
PHI	PHI @ MIA	02/27/2018	L	48	101	35	84	41.7	12	31	38.7	19	23	82.6	10	34	44	25	23	10	3	24	-1
DEN	DEN vs. LAC	02/27/2018	L	48	120	43	87	49.4	10	31	32.3	24	30	80.0	11	30	41	27	20	11	7	27	-2
CLE	CLE vs. BKN	02/27/2018	W	48	129	50	97	51.5	12	24	50.0	17	27	63.0	14	41	55	24	11	7	1	24	6
MIL	MIL vs. WAS	02/27/2018	L	48	104	35	77	45.5	10	26	38.5	24	28	85.7	8	32	40	20	17	10	9	20	-3
SAC	SAC @ POR	02/27/2018	L	48	99	39	88	44.3	7	22	31.8	14	15	93.3	6	30	36	20	12	14	4	12	-17
BKN	BKN vs. CHI	02/26/2018	W	48	104	40	90	44.4	16	42	38.1	8	8	100	7	41	48	31	15	4	9	20	17
OKC	OKC vs. ORL	02/26/2018	W	48	112	42	88	47.7	11	25	44.0	17	20	85.0	14	36	50	24	20	6	6	13	7
ORL	ORL @ OKC	02/26/2018	L	48	105	39	84	46.4	12	29	41.4	15	21	71.4	8	27	35	23	16	15	6	19	-7
GSW	GSW @ NYK	02/26/2018	W	48	125	44	85	51.8	15	31	48.4	22	26	84.6	8	35	43	31	12	8	5	13	14
PHX	PHX @ NOP	02/26/2018	L	48	116	42	97	43.3	7	24	29.2	25	32	78.1	14	37	51	23	14	9	5	33	-9
DET	DET @ TOR	02/26/2018	L	48	94	36	94	38.3	7	22	31.8	15	20	75.0	13	29	42	20	13	11	3	22	-29
LAL	LAL @ ATL	02/26/2018	W	48	123	47	90	52.2	15	33	45.5	14	19	73.7	10	49	59	28	23	8	6	23	19
NYK	NYK vs. GSW	02/26/2018	L	48	111	47	96	49.0	10	25	40.0	7	9	77.8	10	29	39	28	14	7	3	18	-14
SAC	SAC vs. MIN	02/26/2018	L	48	100	40	84	47.6	8	22	36.4	12	13	92.3	8	23	31	22	15	5	3	23	-18
MIN	MIN @ SAC	02/26/2018	W	48	118	39	76	51.3	7	16	43.8	33	36	91.7	8	35	43	22	12	11	4	14	18
MEM	MEM @ BOS	02/26/2018	L	48	98	34	78	43.6	5	23	21.7	25	32	78.1	5	35	40	27	10	4	2	22	-11
HOU	HOU @ UTA	02/26/2018	W	48	96	34	79	43.0	9	33	27.3	19	25	76.0	9	31	40	15	16	15	2	21	11
ATL	ATL vs. LAL	02/26/2018	L	48	104	36	96	37.5	8	36	22.2	24	34	70.6	8	33	41	21	13	14	3	17	-19
UTA	UTA vs. HOU	02/26/2018	L	48	85	31	71	43.7	7	29	24.1	16	22	72.7	7	32	39	21	22	6	4	19	-11
BOS	BOS vs. MEM	02/26/2018	W	48	109	39	86	45.3	12	37	32.4	19	27	70.4	9	35	44	25	8	5	5	23	11
TOR	TOR vs. DET	02/26/2018	W	48	123	42	80	52.5	17	38	44.7	22	23	95.7	6	41	47	31	18	10	7	18	29
CHI	CHI @ BKN	02/26/2018	L	48	87	33	93	35.5	6	23	26.1	15	23	65.2	15	41	56	17	14	8	7	11	-17
DAL	DAL vs. IND	02/26/2018	W	48	109	40	88	45.5	14	37	37.8	15	18	83.3	7	37	44	20	10	9	3	21	6
NOP	NOP vs. PHX	02/26/2018	W	48	125	43	91	47.3	8	28	28.6	31	40	77.5	9	37	46	30	14	7	8	22	9
IND	IND @ DAL	02/26/2018	L	48	103	41	87	47.1	5	20	25.0	16	23	69.6	9	41	50	22	12	6	4	19	-6
HOU	HOU @ DEN	02/25/2018	W	48	119	39	77	50.6	15	35	42.9	26	32	81.3	11	31	42	18	19	7	3	23	5
MIL	MIL vs. NOP	02/25/2018	L	53	121	44	96	45.8	7	25	28.0	26	29	89.7	9	35	44	21	14	10	3	19	-2
WAS	WAS vs. PHI	02/25/2018	W	48	109	43	79	54.4	12	25	48.0	11	12	91.7	10	38	48	35	19	9	6	28	15
CHA	CHA vs. DET	02/25/2018	W	48	114	42	88	47.7	16	35	45.7	14	23	60.9	13	34	47	28	18	9	4	19	16
PHI	PHI @ WAS	02/25/2018	L	48	94	31	86	36.0	9	33	27.3	23	31	74.2	17	26	43	24	16	13	3	16	-15
SAS	SAS @ CLE	02/25/2018	W	48	110	38	86	44.2	9	19	47.4	25	32	78.1	10	34	44	22	10	11	9	12	16
DET	DET @ CHA	02/25/2018	L	48	98	42	85	49.4	4	18	22.2	10	14	71.4	8	33	41	23	17	4	2	22	-16
DEN	DEN vs. HOU	02/25/2018	L	48	114	44	91	48.4	10	29	34.5	16	24	66.7	12	24	36	33	13	13	6	27	-5
NOP	NOP @ MIL	02/25/2018	W	53	123	51	107	47.7	10	30	33.3	11	14	78.6	11	39	50	22	17	8	7	24	2
CLE	CLE vs. SAS	02/25/2018	L	48	94	38	91	41.8	8	34	23.5	10	14	71.4	13	34	47	18	16	8	3	24	-16
MIN	MIN vs. CHI	02/24/2018	W	48	122	46	94	48.9	11	35	31.4	19	26	73.1	10	41	51	25	12	6	4	15	18
OKC	OKC @ GSW	02/24/2018	L	48	80	29	88	33.0	9	34	26.5	13	21	61.9	14	29	43	19	16	8	3	17	-32
PHI	PHI vs. ORL	02/24/2018	W	48	116	42	81	51.9	9	27	33.3	23	27	85.2	9	36	45	31	14	5	4	16	11
PHX	PHX vs. POR	02/24/2018	L	48	104	39	87	44.8	11	26	42.3	15	21	71.4	6	45	51	23	16	5	10	24	-2
POR	POR @ PHX	02/24/2018	W	48	106	39	99	39.4	6	30	20.0	22	30	73.3	12	36	48	15	6	6	7	19	2
LAL	LAL @ SAC	02/24/2018	W	48	113	41	91	45.1	17	38	44.7	14	20	70.0	12	32	44	26	12	5	6	18	5
UTA	UTA vs. DAL	02/24/2018	W	48	97	34	85	40.0	9	32	28.1	20	26	76.9	9	35	44	26	12	6	3	19	7
CHI	CHI @ MIN	02/24/2018	L	48	104	42	90	46.7	6	23	26.1	14	20	70.0	4	38	42	21	15	5	9	20	-18
GSW	GSW vs. OKC	02/24/2018	W	48	112	42	89	47.2	17	38	44.7	11	13	84.6	12	42	54	36	16	8	6	21	32
MIA	MIA vs. MEM	02/24/2018	W	48	115	41	89	46.1	12	33	36.4	21	27	77.8	14	36	50	27	10	15	6	17	26
NYK	NYK vs. BOS	02/24/2018	L	48	112	45	96	46.9	6	27	22.2	16	20	80.0	13	36	49	20	14	10	4	22	-9
BOS	BOS @ NYK	02/24/2018	W	48	121	42	93	45.2	13	33	39.4	24	28	85.7	11	34	45	21	11	11	5	15	9
MEM	MEM @ MIA	02/24/2018	L	48	89	35	80	43.8	5	11	45.5	14	17	82.4	9	31	40	16	19	7	3	22	-26
DAL	DAL @ UTA	02/24/2018	L	48	90	34	83	41.0	10	35	28.6	12	14	85.7	5	39	44	19	16	6	4	23	-7
ORL	ORL @ PHI	02/24/2018	L	48	105	38	85	44.7	13	31	41.9	16	19	84.2	6	27	33	27	13	7	5	20	-11
SAC	SAC vs. LAL	02/24/2018	L	48	108	42	94	44.7	13	25	52.0	11	17	64.7	17	31	48	28	11	5	5	21	-5
NOP	NOP vs. MIA	02/23/2018	W	53	124	48	108	44.4	8	31	25.8	20	24	83.3	13	43	56	27	15	9	13	18	1
PHX	PHX vs. LAC	02/23/2018	L	48	117	45	103	43.7	9	31	29.0	18	31	58.1	16	32	48	22	12	12	5	25	-11
HOU	HOU vs. MIN	02/23/2018	W	48	120	40	83	48.2	14	38	36.8	26	30	86.7	14	36	50	24	12	6	2	17	18
LAC	LAC @ PHX	02/23/2018	W	48	128	45	87	51.7	14	32	43.8	24	32	75.0	8	43	51	23	18	5	8	26	11
LAL	LAL vs. DAL	02/23/2018	W	48	124	48	93	51.6	13	33	39.4	15	20	75.0	13	49	62	32	16	8	6	17	22
WAS	WAS vs. CHA	02/23/2018	L	48	105	40	81	49.4	9	25	36.0	16	17	94.1	6	30	36	25	14	3	0	21	-17
IND	IND vs. ATL	02/23/2018	W	48	116	48	101	47.5	9	28	32.1	11	13	84.6	15	42	57	30	17	17	3	20	23
DEN	DEN vs. SAS	02/23/2018	W	48	122	48	97	49.5	12	32	37.5	14	19	73.7	18	34	52	33	11	5	3	27	3
MIL	MIL @ TOR	02/23/2018	W	53	122	43	90	47.8	13	26	50.0	23	27	85.2	13	38	51	21	21	6	3	24	3
MEM	MEM vs. CLE	02/23/2018	L	48	89	33	84	39.3	9	24	37.5	14	18	77.8	5	32	37	22	23	10	4	25	-23
MIN	MIN @ HOU	02/23/2018	L	48	102	40	94	42.6	10	26	38.5	12	16	75.0	16	27	43	19	11	6	3	22	-18
SAS	SAS @ DEN	02/23/2018	L	48	119	43	85	50.6	5	16	31.3	28	39	71.8	11	27	38	28	7	4	4	20	-3
DAL	DAL @ LAL	02/23/2018	L	48	102	37	91	40.7	19	42	45.2	9	11	81.8	3	26	29	25	11	9	8	19	-22
ATL	ATL @ IND	02/23/2018	L	48	93	37	82	45.1	7	31	22.6	12	19	63.2	6	34	40	14	22	9	7	20	-23
DET	DET vs. BOS	02/23/2018	L	48	98	37	85	43.5	10	33	30.3	14	21	66.7	12	33	45	16	13	4	4	18	-12
TOR	TOR vs. MIL	02/23/2018	L	53	119	43	90	47.8	9	34	26.5	24	26	92.3	5	32	37	23	12	7	8	21	-3
CLE	CLE @ MEM	02/23/2018	W	48	112	40	87	46.0	11	29	37.9	21	22	95.5	7	39	46	26	18	13	9	23	23
UTA	UTA vs. POR	02/23/2018	L	48	81	33	78	42.3	6	25	24.0	9	11	81.8	8	35	43	15	20	7	6	13	-19
POR	POR @ UTA	02/23/2018	W	48	100	39	87	44.8	9	24	37.5	13	14	92.9	6	35	41	14	12	11	5	20	19
MIA	MIA @ NOP	02/23/2018	L	53	123	50	108	46.3	6	18	33.3	17	26	65.4	13	45	58	26	13	12	5	23	-1
BOS	BOS @ DET	02/23/2018	W	48	110	41	85	48.2	17	39	43.6	11	18	61.1	10	32	42	30	11	8	5	22	12
CHA	CHA @ WAS	02/23/2018	W	48	122	44	90	48.9	17	39	43.6	17	20	85.0	13	28	41	26	9	7	5	18	17
CHI	CHI vs. PHI	02/22/2018	L	48	115	44	97	45.4	18	34	52.9	9	15	60.0	11	37	48	27	14	5	4	26	-1
WAS	WAS @ CLE	02/22/2018	W	48	110	44	92	47.8	12	30	40.0	10	10	100	9	34	43	29	11	9	3	23	7
GSW	GSW vs. LAC	02/22/2018	W	48	134	47	76	61.8	14	25	56.0	26	34	76.5	3	29	32	31	15	8	8	24	7
LAC	LAC @ GSW	02/22/2018	L	48	127	44	88	50.0	11	32	34.4	28	34	82.4	8	28	36	32	15	9	2	19	-7
ORL	ORL vs. NYK	02/22/2018	L	48	113	43	83	51.8	11	24	45.8	16	23	69.6	5	34	39	28	14	7	5	15	-7
CLE	CLE vs. WAS	02/22/2018	L	48	103	42	84	50.0	8	35	22.9	11	19	57.9	6	30	36	20	13	5	2	15	-7
CHA	CHA vs. BKN	02/22/2018	W	48	111	42	87	48.3	11	21	52.4	16	20	80.0	13	41	54	29	15	3	6	15	15
OKC	OKC @ SAC	02/22/2018	W	48	110	38	86	44.2	14	35	40.0	20	24	83.3	10	39	49	26	11	6	7	16	3
NYK	NYK @ ORL	02/22/2018	W	48	120	48	99	48.5	7	25	28.0	17	21	81.0	16	31	47	28	9	7	12	15	7
SAC	SAC vs. OKC	02/22/2018	L	48	107	42	91	46.2	12	27	44.4	11	15	73.3	10	34	44	23	9	6	4	20	-3
PHI	PHI @ CHI	02/22/2018	W	48	116	42	82	51.2	11	29	37.9	21	35	60.0	8	33	41	25	11	7	5	17	1
BKN	BKN @ CHA	02/22/2018	L	48	96	36	93	38.7	14	43	32.6	10	14	71.4	11	30	41	27	10	6	8	23	-15
MIL	MIL vs. DEN	02/15/2018	L	48	123	49	92	53.3	9	26	34.6	16	22	72.7	11	29	40	27	16	9	5	20	-11
MIN	MIN vs. LAL	02/15/2018	W	48	119	42	90	46.7	6	24	25.0	29	31	93.5	11	35	46	23	10	5	10	22	8
LAL	LAL @ MIN	02/15/2018	L	48	111	43	94	45.7	7	31	22.6	18	26	69.2	11	35	46	19	13	6	4	26	-8
DEN	DEN @ MIL	02/15/2018	W	48	134	47	85	55.3	24	40	60.0	16	20	80.0	8	26	34	37	18	9	6	23	11
CHI	CHI vs. TOR	02/14/2018	L	48	98	39	91	42.9	4	24	16.7	16	20	80.0	4	38	42	17	6	5	6	16	-24
PHI	PHI vs. MIA	02/14/2018	W	48	104	39	92	42.4	9	35	25.7	17	25	68.0	23	37	60	25	19	6	2	23	2
NYK	NYK vs. WAS	02/14/2018	L	48	113	45	97	46.4	9	19	47.4	14	18	77.8	11	31	42	21	10	7	1	17	-5
UTA	UTA vs. PHX	02/14/2018	W	48	107	39	92	42.4	10	34	29.4	19	22	86.4	14	40	54	22	9	6	3	17	10
POR	POR vs. GSW	02/14/2018	W	48	123	45	93	48.4	12	33	36.4	21	24	87.5	13	36	49	20	14	9	0	18	6
BKN	BKN vs. IND	02/14/2018	L	48	103	35	83	42.2	13	35	37.1	20	27	74.1	9	35	44	24	14	4	2	20	-5
ORL	ORL vs. CHA	02/14/2018	L	48	102	36	86	41.9	15	37	40.5	15	17	88.2	9	39	48	21	20	7	0	17	-2
SAC	SAC @ HOU	02/14/2018	L	48	91	38	87	43.7	10	32	31.3	5	8	62.5	9	39	48	26	17	8	5	20	-9
TOR	TOR @ CHI	02/14/2018	W	48	122	48	92	52.2	14	38	36.8	12	15	80.0	5	45	50	38	8	5	8	22	24
IND	IND @ BKN	02/14/2018	W	48	108	39	90	43.3	6	15	40.0	24	28	85.7	15	37	52	20	8	10	7	20	5
DET	DET vs. ATL	02/14/2018	W	48	104	35	83	42.2	13	33	39.4	21	25	84.0	10	37	47	26	16	3	5	18	6
LAC	LAC @ BOS	02/14/2018	W	48	129	44	88	50.0	11	29	37.9	30	33	90.9	7	36	43	26	9	5	5	21	10
LAL	LAL @ NOP	02/14/2018	L	48	117	46	90	51.1	10	22	45.5	15	18	83.3	7	30	37	26	20	5	3	21	-22
BOS	BOS vs. LAC	02/14/2018	L	48	119	42	97	43.3	15	31	48.4	20	21	95.2	11	35	46	24	8	4	7	31	-10
MIA	MIA @ PHI	02/14/2018	L	48	102	35	77	45.5	11	27	40.7	21	29	72.4	3	26	29	23	11	9	5	21	-2
ATL	ATL @ DET	02/14/2018	L	48	98	38	89	42.7	6	33	18.2	16	19	84.2	8	35	43	25	11	9	4	21	-6
WAS	WAS @ NYK	02/14/2018	W	48	118	48	88	54.5	7	22	31.8	15	19	78.9	6	39	45	31	12	7	9	16	5
GSW	GSW @ POR	02/14/2018	L	48	117	43	90	47.8	13	37	35.1	18	19	94.7	8	33	41	24	16	8	7	24	-6
NOP	NOP vs. LAL	02/14/2018	W	48	139	53	99	53.5	14	32	43.8	19	21	90.5	12	36	48	35	12	13	7	20	22
HOU	HOU vs. SAC	02/14/2018	W	48	100	33	83	39.8	14	49	28.6	20	22	90.9	7	41	48	19	14	10	5	14	9
MEM	MEM vs. OKC	02/14/2018	L	48	114	44	86	51.2	14	27	51.9	12	15	80.0	6	35	41	29	12	6	2	25	-7
PHX	PHX @ UTA	02/14/2018	L	48	97	34	79	43.0	12	29	41.4	17	24	70.8	5	36	41	19	12	5	6	25	-10
OKC	OKC @ MEM	02/14/2018	W	48	121	40	81	49.4	17	37	45.9	24	35	68.6	8	30	38	26	9	7	6	19	7
CHA	CHA @ ORL	02/14/2018	W	48	104	38	88	43.2	13	30	43.3	15	19	78.9	8	37	45	26	12	14	4	15	2
CLE	CLE @ OKC	02/13/2018	W	48	120	45	88	51.1	16	36	44.4	14	22	63.6	10	31	41	24	7	6	3	28	8
SAC	SAC @ DAL	02/13/2018	W	48	114	47	87	54.0	12	29	41.4	8	12	66.7	5	33	38	30	9	6	4	19	5
SAS	SAS @ DEN	02/13/2018	L	48	109	44	82	53.7	6	22	27.3	15	22	68.2	10	32	42	24	19	6	7	22	-8
MIA	MIA @ TOR	02/13/2018	L	48	112	42	86	48.8	12	29	41.4	16	19	84.2	10	41	51	24	16	5	3	18	-3
OKC	OKC vs. CLE	02/13/2018	L	48	112	40	90	44.4	11	35	31.4	21	30	70.0	18	33	51	23	11	6	3	20	-8
HOU	HOU @ MIN	02/13/2018	W	48	126	41	83	49.4	22	47	46.8	22	29	75.9	9	28	37	25	6	1	4	23	18
TOR	TOR vs. MIA	02/13/2018	W	48	115	42	90	46.7	13	35	37.1	18	23	78.3	7	33	40	24	8	7	3	19	3
DEN	DEN vs. SAS	02/13/2018	W	48	117	46	93	49.5	10	32	31.3	15	18	83.3	11	24	35	29	12	10	3	18	8
ATL	ATL @ MIL	02/13/2018	L	48	92	33	86	38.4	12	35	34.3	14	20	70.0	14	36	50	21	14	7	6	14	-5
DAL	DAL vs. SAC	02/13/2018	L	48	109	38	83	45.8	15	40	37.5	18	23	78.3	4	33	37	29	9	4	4	15	-5
MIN	MIN vs. HOU	02/13/2018	L	48	108	40	84	47.6	6	23	26.1	22	23	95.7	9	31	40	22	9	3	4	20	-18
MIL	MIL vs. ATL	02/13/2018	W	48	97	38	88	43.2	8	25	32.0	13	17	76.5	14	34	48	23	10	6	10	18	5
NYK	NYK @ PHI	02/12/2018	L	48	92	31	79	39.2	6	24	25.0	24	28	85.7	7	26	33	16	19	5	4	22	-16
GSW	GSW vs. PHX	02/12/2018	W	48	129	52	89	58.4	11	26	42.3	14	21	66.7	7	42	49	36	12	8	16	18	46
SAS	SAS @ UTA	02/12/2018	L	48	99	38	85	44.7	6	25	24.0	17	25	68.0	8	36	44	23	11	5	8	24	-2
BKN	BKN vs. LAC	02/12/2018	L	48	101	41	89	46.1	12	40	30.0	7	10	70.0	10	27	37	27	13	10	6	15	-13
NOP	NOP @ DET	02/12/2018	W	48	118	44	100	44.0	14	34	41.2	16	16	100	10	43	53	31	12	6	7	25	15
ORL	ORL @ CHI	02/12/2018	L	48	101	37	84	44.0	10	31	32.3	17	19	89.5	7	32	39	24	10	8	7	18	-4
PHI	PHI vs. NYK	02/12/2018	W	48	108	41	75	54.7	10	19	52.6	16	24	66.7	7	30	37	27	19	13	6	22	16
PHX	PHX @ GSW	02/12/2018	L	48	83	33	95	34.7	3	23	13.0	14	22	63.6	15	32	47	13	17	2	3	17	-46
DET	DET vs. NOP	02/12/2018	L	48	103	35	95	36.8	9	35	25.7	24	32	75.0	14	40	54	18	14	5	3	19	-15
LAC	LAC @ BKN	02/12/2018	W	48	114	48	85	56.5	6	16	37.5	12	14	85.7	8	35	43	19	15	8	6	14	13
UTA	UTA vs. SAS	02/12/2018	W	48	101	35	84	41.7	11	24	45.8	20	30	66.7	9	34	43	15	10	7	5	24	2
CHI	CHI vs. ORL	02/12/2018	W	48	105	40	88	45.5	9	32	28.1	16	21	76.2	11	35	46	25	11	6	3	13	4
TOR	TOR @ CHA	02/11/2018	W	48	123	49	87	56.3	18	37	48.6	7	10	70.0	6	34	40	35	13	7	8	24	20
CLE	CLE @ BOS	02/11/2018	W	48	121	45	84	53.6	16	30	53.3	15	20	75.0	5	36	41	22	11	7	6	20	22
OKC	OKC vs. MEM	02/11/2018	W	48	110	34	77	44.2	16	37	43.2	26	40	65.0	9	29	38	21	10	6	3	23	18
POR	POR vs. UTA	02/11/2018	L	48	96	33	81	40.7	9	25	36.0	21	25	84.0	6	31	37	16	13	7	4	22	-19
MIN	MIN vs. SAC	02/11/2018	W	48	111	37	74	50.0	9	24	37.5	28	32	87.5	8	29	37	29	17	10	5	17	5
SAC	SAC @ MIN	02/11/2018	L	48	106	42	88	47.7	10	25	40.0	12	17	70.6	15	28	43	17	19	12	2	23	-5
DET	DET @ ATL	02/11/2018	L	48	115	38	83	45.8	13	33	39.4	26	33	78.8	12	28	40	30	15	6	4	28	-3
NYK	NYK @ IND	02/11/2018	L	48	113	41	93	44.1	9	35	25.7	22	25	88.0	12	33	45	27	12	8	3	18	-8
ATL	ATL vs. DET	02/11/2018	W	48	118	38	78	48.7	10	29	34.5	32	37	86.5	4	31	35	27	13	10	3	26	3
HOU	HOU vs. DAL	02/11/2018	W	48	104	34	78	43.6	13	45	28.9	23	33	69.7	2	40	42	15	9	9	7	18	7
DAL	DAL @ HOU	02/11/2018	L	48	97	38	93	40.9	10	31	32.3	11	16	68.8	12	40	52	26	14	6	4	25	-7
MEM	MEM @ OKC	02/11/2018	L	48	92	32	82	39.0	6	28	21.4	22	24	91.7	12	35	47	21	17	4	5	32	-18
BOS	BOS vs. CLE	02/11/2018	L	48	99	36	89	40.4	10	38	26.3	17	22	77.3	13	30	43	22	15	3	4	14	-22
CHA	CHA vs. TOR	02/11/2018	L	48	103	38	89	42.7	10	23	43.5	17	23	73.9	11	31	42	26	13	5	5	13	-20
UTA	UTA @ POR	02/11/2018	W	48	115	41	88	46.6	13	26	50.0	20	22	90.9	16	42	58	23	13	8	4	22	19
IND	IND vs. NYK	02/11/2018	W	48	121	47	94	50.0	12	28	42.9	15	22	68.2	16	38	54	27	13	7	5	16	8
PHX	PHX vs. DEN	02/10/2018	L	48	113	46	84	54.8	7	19	36.8	14	25	56.0	8	28	36	24	15	7	9	24	-10
MIL	MIL @ ORL	02/10/2018	W	48	111	43	82	52.4	9	25	36.0	16	20	80.0	8	33	41	28	12	7	4	16	7
LAL	LAL @ DAL	02/10/2018	L	48	123	46	84	54.8	16	34	47.1	15	22	68.2	9	28	37	29	17	7	0	25	-7
BKN	BKN vs. NOP	02/10/2018	L	58	128	43	114	37.7	21	59	35.6	21	22	95.5	18	42	60	30	17	10	3	30	-10
PHI	PHI vs. LAC	02/10/2018	W	48	112	43	90	47.8	13	33	39.4	13	17	76.5	6	39	45	32	12	12	8	18	14
ORL	ORL vs. MIL	02/10/2018	L	48	104	37	83	44.6	8	30	26.7	22	26	84.6	10	31	41	23	12	7	3	14	-7
LAC	LAC @ PHI	02/10/2018	L	48	98	38	88	43.2	8	32	25.0	14	23	60.9	11	42	53	20	17	7	5	16	-14
